hour,t1_kwh,t2_kwh,gas_m3
0,0.08722208121827786,0.0,0.028675126903553304
1,0.0621112521150587,0.0,0.01990778341793585
2,0.04843087362171498,0.0,0.018488125530109697
3,0.04633269881556062,0.0,0.019201565143825823
4,0.04552115059222219,0.0,0.01993401015228158
5,0.04595135363790586,0.0,0.020140651438242847
6,0.06027939932316455,0.00010279187817160085,0.03503722504230213
7,0.020917724196290073,0.043579949238578546,0.04102876480541386
8,0.024846023688664384,0.06567766497461724,0.03393802876480499
9,0.02750549915397137,0.06837457698815809,0.02968845177664815
10,0.030382614213201313,0.06715101522843155,0.03286421319797167
11,0.04104737732656152,0.06162098138747309,0.028102368866325646
12,0.04271552453468559,0.06264636209813644,0.025624788494077545
13,0.04932085448392773,0.06960300338409352,0.023736886632827657
14,0.05473794416244317,0.07542787648054713,0.023830583756347064
15,0.049164340101517184,0.08220981387478775,0.031251269035528446
16,0.046342428087986456,0.07966074450084458,0.03012140439932621
17,0.043600465313028386,0.07627030456852653,0.03198582910321687
18,0.043325084602371444,0.07304230118443375,0.03194500846023497
19,0.044012267343482764,0.0726402284263979,0.033903341793571004
20,0.045599830795264286,0.08544247038917316,0.038116328257191766
21,0.12315101522842385,0.0079604483925532,0.05440672588832365
22,0.1225962351945853,2.7495769881579766e-05,0.044288071065990475
23,0.11093104906937297,2.7707275803596315e-05,0.04173075296108135
